rooms,price,price_on_m,first_pay,total_area,living_area,kitchen_area,deposit,comission,prepay,und,und_time,und_type,und_dist,floor,floor_cnt,build_year,lng,lat,link,tel,description
1,30000,750.0,68000.0,40.0,20.0,11.0,20000.0,60.0,1.0,Горьковская,24.0,пешком,2160.0,5,9,1976.0,44.014134000000006,56.326147999999996,https://nn.cian.ru/rent/flat/258002335/,tel:+79587282362,"Сдается очень уютная и современная квартира студийной планировки с ремонтом по дизайн-проекту. Ремонт делался для себя качественными материалами. Получилась выделенная спальная зона и кухня-гостиная с лаунж-зоной напротив экрана с проектором (проектор с выходом в интернет и можно смотреть обычные каналы).
Кухонный гарнитур со встроенной бытовой техникой и посудомоечной машиной. Есть небольшая гардеробная, полноценная двуспальная кровать с ортопедическим матрацем.
Для комфортного проживания в летнюю жару установлен кондиционер.
Очень удобно что на придомовой территории установлен шлагбаум - можно парковаться жителям этого дома. В центре города это очень важно. 
Рядом с домом есть продуктовый магазин, кафе Волконский, сквер, в пешей доступности самые красивые места в городе - Верхне-волжская Набережная и Юольшая Покровская, пл. Минина.
Рядом находятся Центр международной торговли, Сбербанк, Яндекс и офисы других крупных компаний.
В стоимость аренды велючена генеральная уборка квартиры раз в месяц."
1,18000,473.68,28800.0,38.0,20.0,9.0,0.0,60.0,1.0,Стрелка,23.0,пешком,2070.0,6,12,2005.0,43.930699,56.346951000000004,https://nn.cian.ru/rent/flat/258046577/,tel:+79587281852,"Сдаётся 1 комнатная квартира - студия. Только что сделан качественный ремонт, сан узел - кафель, натяжные потолки. Новая мебель (диван и кресло - кровать). Заезжай и живи. Ни кто ни разу не проживал. Фото соответствует на 100 %. Квартира сдаётся на длительный срок от агентства недвижимости, оплата комиссионного вознаграждения после подписания договора с собственником квартиры и передачи ключей от неё. В офис ехать не нужно! Отдельно оплачивается только свет и вода по счётчику."
2,30000,652.17,71000.0,46.0,24.1,18.0,20000.0,70.0,1.0,Ленинская,4.0,пешком,360.0,2,6,2013.0,43.941972,56.300849,https://nn.cian.ru/rent/flat/224126625/,tel:+79587280118,"ЭКСКЛЮЗИВ!
Сдам евро  2хкомнатную квартиру (кухня-гостинная+спальня) в элитном новом доме на ул.Мичурина в районе Управления Железной Дороги.
Квартира с дорогим ремонтом,всей дорогой бытовой техникой и мебелью.
Квартира полностью оборудована всем;кондиционер,видеодомофон,дорогой матрац.
Есть грузовой лифт (несмотря на 6 этажей),всего 4 квартиры на этаже.
Рядом улицы Октябрьской революции,Июльских дней,пр.Ленина,метро Ленинская и др.Не информационное офисное агентство.На показ выезжаю."
1,11000,282.05,16500.0,39.0,20.0,9.0,0.0,50.0,1.0,Буревестник,38.0,пешком,3420.0,9,9,1992.0,43.853605,56.32807,https://nn.cian.ru/rent/flat/257580439/,tel:+79918998128,"Сдается однокомнатная квартира с мебелью и бытовой техникой!
На длительный срок!
Фото соответствует!
Ключи.
11000+счетчики"
1,13900,445.51,13900.0,31.2,16.0,6.0,0.0,0.0,1.0,Парк культуры,15.0,на транспорте,10500.0,2,10,2011.0,43.830698,56.237246999999996,https://nn.cian.ru/rent/flat/257685994/,tel:+79587290565,"Сдаётся уютная 1-комнатная квартира с хорошим ремонтом, раздельным санузлом и лоджией в ЖК Спутник, без депозита! Коммунальные услуги и счётчики оплачиваются отдельно. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть микроволновая печь, холодильник, плита, душ, утюг и стиральная машина. Проведён интернет с Wi-Fi. Окна выходят во двор, есть бесплатная парковка.

До м. Парк Культуры  15 минут на общественном транспорте.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, стадион и фитнес-клуб, кафе, бары, детская поликлиника, заправки и автосервисы. Недалеко Автозаводской парк."
1,16000,432.43,25600.0,37.0,19.4,9.0,0.0,60.0,1.0,Буревестник,26.0,пешком,2340.0,10,10,2006.0,43.913361,56.339203000000005,https://nn.cian.ru/rent/flat/257474522/,tel:+79587281852,"Сдаётся 1 ком квартира в мкр Бурнаковский. Квартира сдаётся на длительный срок, впервые. Ни кто ни разу не снимал. Квартира сдаётся на  от агентства недвижимости, оплата комиссионного вознаграждения после подписания договора с собственником квартиры и передачи ключей от неё. В офис ехать не нужно. Фото соответствует на 100 %."
1,16000,509.55,16000.0,31.4,20.0,6.0,0.0,0.0,1.0,Горьковская,15.0,на транспорте,10500.0,3,5,1975.0,44.021231,56.292657999999996,https://nn.cian.ru/rent/flat/257751889/,tel:+79587293624,"Сдаётся светлая 1-комнатная квартира с лоджией, без депозита! Коммунальные платежи включены, счётчики оплачиваются отдельно. Квартира оснащена кухонным гарнитуром, есть телевизор, микроволновка, стиральная машина и холодильник. Можно вывезти часть мебели. Интернет проведён. Окна выходят во двор. 

До м. Горьковская  15 минут на общественном транспорте.

Можно заселиться с небольшим домашним питомцем. 

Около дома есть бесплатная парковка, есть своё парковочное место. Дом расположен в тихом районе, в пешей доступности находятся: детский сад, аптеки, продуктовые магазины, салон красоты, кафе."
1,12000,352.94,18960.0,34.0,17.0,7.5,0.0,58.0,1.0,Буревестник,17.0,пешком,1530.0,3,9,1973.0,43.874626,56.335356000000004,https://nn.cian.ru/rent/flat/255032023/,tel:+79587283983,"Сдаю чистую уютную квартиру с мебелью, холодильником. Стиральная машина по желанию. В квартире пластиковые окна, в ванной современный кафель. Рядом стадион Старт, школы, детсады, магазины. Агент выездной. Оплата услуг по факту заселения."
1,14000,437.5,22400.0,32.0,18.0,6.5,0.0,60.0,1.0,Горьковская,7.0,на транспорте,4900.0,5,5,1963.0,44.026603,56.294571,https://nn.cian.ru/rent/flat/256862150/,tel:+79587280939,"1-ком.квартира с мебелью и бытовой техникой в Советском районе. Развитая инфраструктура: Рядом магазины, аптеки, салоны обслуживания, школа, детсад, остановки общественного транспорта. Сдаётся от агентства на длительный срок для людей европейской внешности без животных, сдаваться будет с 30 мая.  Отдельно оплачиваете только электроэнергию и холодное водоснабжение по счётчику. Оплата комиссии агентству по факту заселения. Агент выезжает на показ."
2,12900,298.61,12900.0,43.2,27.1,7.0,0.0,0.0,1.0,Канавинская,5.0,пешком,450.0,1,9,1972.0,43.932208,56.322979000000004,https://nn.cian.ru/rent/flat/257859518/,tel:+79587299815,"Сдаётся просторная 2-комнатная квартира с балконом и раздельным санузлом, без депозита! Коммунальные платежи и счётчики оплачиваются отдельно. Квартира оснащена кухонным гарнитуром, есть плита, телевизор и холодильник. Можно вывезти часть мебели. Окна выходят во двор. 

В 5 минутах пешком  м. Канавинская. Автомобилистам будет удобно выезжать на Московское шоссе. 

Можно обсудить заселение с домашним питомцем.

Около дома есть бесплатная парковка. Дом расположен в районе с развитой инфраструктурой, в пешей доступности находятся: школа, детский сад, продуктовые магазины, салон красоты, фитнес-клуб, больница, аптеки, кафе."
2,18000,450.0,34800.0,40.0,20.0,8.0,6000.0,60.0,1.0,Горьковская,27.0,пешком,2430.0,12,14,1984.0,44.022641,56.310577,https://nn.cian.ru/rent/flat/215874214/,tel:+79587293186,"Квартира после ремонта, комнаты изолированные, вся мебель и техника в наличие. Комнаты изолированные, небольшие. Перепланировка из большой однушки в двухкомнатную компактную уютную квартиру.У дома отличное расположение. Замечательный вид из окон. Развязка в любой конец города, до площади Минина 20 минут пешком.Показ в любое время по предварительной договорённости."
1,10000,500.0,17000.0,20.0,14.0,3.0,0.0,70.0,1.0,Горьковская,5.0,на транспорте,3500.0,4,5,1969.0,44.033466,56.310947,https://nn.cian.ru/rent/flat/258075189/,tel:+79587280939,"Малогабаритная 1-ком.квартира с мебелью и бытовой техникой. Развитая инфраструктура: Рядом магазины, аптеки, салоны обслуживания, школа, детсад, остановки общественного транспорта. Сдаётся от агентства на длительный срок для людей европейской внешности без животных.Отдельно оплачиваете только электроэнергию  по счётчику. Оплата комиссии агентству по факту заселения. Агент выезжает на показ."
1,15500,484.38,34800.0,32.0,17.0,6.0,10000.0,60.0,1.0,,,,,3,5,1962.0,43.979378000000004,56.275839000000005,https://nn.cian.ru/rent/flat/255635710/,tel:+79587293186,"Сдам квартиру на проспекте Гагарина. Отличное местоположение. Рядом остановка транспорта, парк Швейцария, многочисленные ВУЗы. 

Квартира очень светлая и чистая. Фото соответствуют действительности. Балкон застеклен

Сдается строго славянам, предпочтительно одному или паре. Сверх аренды оплата электричества и при необходимости интернета"
1,16000,531.56,16000.0,30.1,18.9,6.0,0.0,0.0,1.0,Пролетарская,10.0,на транспорте,7000.0,3,5,1972.0,43.874509,56.260853000000004,https://nn.cian.ru/rent/flat/258061254/,tel:+79587296252,"Сдаётся светлая 1-комнатная квартира с хорошим ремонтом, смежным санузлом и балконом, без депозита! Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть холодильник, телевизор, плита, пылесос, микроволновая печь и стиральная машина. Коммунальные услуги и счётчики оплачиваются отдельно. Окна выходят во двор, есть бесплатная парковка. Собственник готов заключить договор с юридическим лицом. 

В 2 минутах пешком  остановка общественного транспорта, от которой за 8 минут можно доехать до м. Пролетарская. 

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, аптеки, медицинские учреждения, кафе, закусочные и бары, фитнес-клубы, салоны красоты и парикмахерские. Прямо напротив  парк им. 777-летия Нижнего Новгорода."
