roomsCount,price,address,tel,underground,undergroundTime,deposit,comission,prepay,total_area,living_area,kitchen_area,floor,build_year,lng,lat,description,link
1-комн,30 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Пискунова, 45",tel:+79587282362,Горьковская,24 мин. пешком,Залог 20 000 ₽,комиссия 60%,предоплата за 1 месяц,40 м²,20 м²,11 м²,5 из 9,1976,44.014134,56.326148,"Сдается очень уютная и современная квартира студийной планировки с ремонтом по дизайн-проекту. Ремонт делался для себя качественными материалами. Получилась выделенная спальная зона и кухня-гостиная с лаунж-зоной напротив экрана с проектором (проектор с выходом в интернет и можно смотреть обычные каналы).
Кухонный гарнитур со встроенной бытовой техникой и посудомоечной машиной. Есть небольшая гардеробная, полноценная двуспальная кровать с ортопедическим матрацем.
Для комфортного проживания в летнюю жару установлен кондиционер.
Очень удобно что на придомовой территории установлен шлагбаум - можно парковаться жителям этого дома. В центре города это очень важно. 
Рядом с домом есть продуктовый магазин, кафе Волконский, сквер, в пешей доступности самые красивые места в городе - Верхне-волжская Набережная и Юольшая Покровская, пл. Минина.
Рядом находятся Центр международной торговли, Сбербанк, Яндекс и офисы других крупных компаний.
В стоимость аренды велючена генеральная уборка квартиры раз в месяц.",https://nn.cian.ru/rent/flat/258002335/
1-комн,18 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, ул. Сергея Акимова, 51",tel:+79587281852,Стрелка,23 мин. пешком,Без залога,комиссия 60%,предоплата за 1 месяц,38 м²,20 м²,9 м²,6 из 12,2005,43.930699,56.346951,"Сдаётся 1 комнатная квартира - студия. Только что сделан качественный ремонт, сан узел - кафель, натяжные потолки. Новая мебель (диван и кресло - кровать). Заезжай и живи. Ни кто ни разу не проживал. Фото соответствует на 100 %. Квартира сдаётся на длительный срок от агентства недвижимости, оплата комиссионного вознаграждения после подписания договора с собственником квартиры и передачи ключей от неё. В офис ехать не нужно! Отдельно оплачивается только свет и вода по счётчику.",https://nn.cian.ru/rent/flat/258046577/
2-комн,30 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, ул. Мичурина, 1к1",tel:+79587280118,Ленинская,4 мин. пешком,Залог 20 000 ₽,комиссия 70%,предоплата за 1 месяц,46 м²,,18 м²,2 из 6,2013,43.941972,56.300849,"ЭКСКЛЮЗИВ!
Сдам евро  2хкомнатную квартиру (кухня-гостинная+спальня) в элитном новом доме на ул.Мичурина в районе Управления Железной Дороги.
Квартира с дорогим ремонтом,всей дорогой бытовой техникой и мебелью.
Квартира полностью оборудована всем;кондиционер,видеодомофон,дорогой матрац.
Есть грузовой лифт (несмотря на 6 этажей),всего 4 квартиры на этаже.
Рядом улицы Октябрьской революции,Июльских дней,пр.Ленина,метро Ленинская и др.Не информационное офисное агентство.На показ выезжаю.",https://nn.cian.ru/rent/flat/224126625/
1-комн,11 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Авиационный, ул. Чаадаева, 2",tel:+79918998128,Буревестник,38 мин. пешком,Без залога,комиссия 50%,предоплата за 1 месяц,39 м²,20 м²,9 м²,9 из 9,1992,43.853605,56.32807,"Сдается однокомнатная квартира с мебелью и бытовой техникой!
На длительный срок!
Фото соответствует!
Ключи.
11000+счетчики",https://nn.cian.ru/rent/flat/257580439/
1-комн,13 900 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Спутника, 32",tel:+79587290565,Парк культуры,15 мин. на транспорте,Без залога,без комиссии,предоплата за 1 месяц,"31,2 м²",16 м²,6 м²,2 из 10,2011,43.830698,56.237247,"Сдаётся уютная 1-комнатная квартира с хорошим ремонтом, раздельным санузлом и лоджией в ЖК Спутник, без депозита! Коммунальные услуги и счётчики оплачиваются отдельно. Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Есть микроволновая печь, холодильник, плита, душ, утюг и стиральная машина. Проведён интернет с Wi-Fi. Окна выходят во двор, есть бесплатная парковка.

До м. Парк Культуры  15 минут на общественном транспорте.

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, стадион и фитнес-клуб, кафе, бары, детская поликлиника, заправки и автосервисы. Недалеко Автозаводской парк.",https://nn.cian.ru/rent/flat/257685994/
1-комн,16 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, Народная ул., 26",tel:+79587281852,Буревестник,26 мин. пешком,Без залога,комиссия 60%,предоплата за 1 месяц,37 м²,,9 м²,10 из 10,2006,43.913361,56.339203,"Сдаётся 1 ком квартира в мкр Бурнаковский. Квартира сдаётся на длительный срок, впервые. Ни кто ни разу не снимал. Квартира сдаётся на  от агентства недвижимости, оплата комиссионного вознаграждения после подписания договора с собственником квартиры и передачи ключей от неё. В офис ехать не нужно. Фото соответствует на 100 %.",https://nn.cian.ru/rent/flat/257474522/
1-комн,16 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Чукотская ул., 5",tel:+79587293624,Горьковская,15 мин. на транспорте,Без залога,без комиссии,предоплата за 1 месяц,"31,4 м²",20 м²,6 м²,3 из 5,1975,44.021231,56.292658,"Сдаётся светлая 1-комнатная квартира с лоджией, без депозита! Коммунальные платежи включены, счётчики оплачиваются отдельно. Квартира оснащена кухонным гарнитуром, есть телевизор, микроволновка, стиральная машина и холодильник. Можно вывезти часть мебели. Интернет проведён. Окна выходят во двор. 

До м. Горьковская  15 минут на общественном транспорте.

Можно заселиться с небольшим домашним питомцем. 

Около дома есть бесплатная парковка, есть своё парковочное место. Дом расположен в тихом районе, в пешей доступности находятся: детский сад, аптеки, продуктовые магазины, салон красоты, кафе.",https://nn.cian.ru/rent/flat/257751889/
1-комн,12 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, Березовская ул., 95",tel:+79587283983,Буревестник,17 мин. пешком,Без залога,комиссия 58%,предоплата за 1 месяц,34 м²,17 м²,"7,5 м²",3 из 9,1973,43.874626,56.335356,"Сдаю чистую уютную квартиру с мебелью, холодильником. Стиральная машина по желанию. В квартире пластиковые окна, в ванной современный кафель. Рядом стадион Старт, школы, детсады, магазины. Агент выездной. Оплата услуг по факту заселения.",https://nn.cian.ru/rent/flat/255032023/
1-комн,14 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, ул. Бекетова, 67",tel:+79587280939,Горьковская,7 мин. на транспорте,Без залога,комиссия 60%,предоплата за 1 месяц,32 м²,18 м²,"6,5 м²",5 из 5,1963,44.026603,56.294571,"1-ком.квартира с мебелью и бытовой техникой в Советском районе. Развитая инфраструктура: Рядом магазины, аптеки, салоны обслуживания, школа, детсад, остановки общественного транспорта. Сдаётся от агентства на длительный срок для людей европейской внешности без животных, сдаваться будет с 30 мая.  Отдельно оплачиваете только электроэнергию и холодное водоснабжение по счётчику. Оплата комиссии агентству по факту заселения. Агент выезжает на показ.",https://nn.cian.ru/rent/flat/256862150/
2-комн,12 900 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Гордеевский, Московское ш., 31",tel:+79587299815,Канавинская,5 мин. пешком,Без залога,без комиссии,предоплата за 1 месяц,"43,2 м²","27,1 м²",7 м²,1 из 9,1972,43.932208,56.322979,"Сдаётся просторная 2-комнатная квартира с балконом и раздельным санузлом, без депозита! Коммунальные платежи и счётчики оплачиваются отдельно. Квартира оснащена кухонным гарнитуром, есть плита, телевизор и холодильник. Можно вывезти часть мебели. Окна выходят во двор. 

В 5 минутах пешком  м. Канавинская. Автомобилистам будет удобно выезжать на Московское шоссе. 

Можно обсудить заселение с домашним питомцем.

Около дома есть бесплатная парковка. Дом расположен в районе с развитой инфраструктурой, в пешей доступности находятся: школа, детский сад, продуктовые магазины, салон красоты, фитнес-клуб, больница, аптеки, кафе.",https://nn.cian.ru/rent/flat/257859518/
2-комн,18 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, Республиканская ул., 23",tel:+79587293186,Горьковская,27 мин. пешком,Залог 6 000 ₽,комиссия 60%,предоплата за 1 месяц,40 м²,20 м²,8 м²,12 из 14,1984,44.022641,56.310577,"Квартира после ремонта, комнаты изолированные, вся мебель и техника в наличие. Комнаты изолированные, небольшие. Перепланировка из большой однушки в двухкомнатную компактную уютную квартиру.У дома отличное расположение. Замечательный вид из окон. Развязка в любой конец города, до площади Минина 20 минут пешком.Показ в любое время по предварительной договорённости.",https://nn.cian.ru/rent/flat/215874214/
1-комн,10 000 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Бориса Панина, 19",tel:+79587280939,Горьковская,5 мин. на транспорте,Без залога,комиссия 70%,предоплата за 1 месяц,20 м²,14 м²,3 м²,4 из 5,1969,44.033466,56.310947,"Малогабаритная 1-ком.квартира с мебелью и бытовой техникой. Развитая инфраструктура: Рядом магазины, аптеки, салоны обслуживания, школа, детсад, остановки общественного транспорта. Сдаётся от агентства на длительный срок для людей европейской внешности без животных.Отдельно оплачиваете только электроэнергию  по счётчику. Оплата комиссии агентству по факту заселения. Агент выезжает на показ.",https://nn.cian.ru/rent/flat/258075189/
1-комн,15 500 ₽/мес.,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Суриковский, просп. Гагарина, 94",tel:+79587293186,,,Залог 10 000 ₽,комиссия 60%,предоплата за 1 месяц,32 м²,17 м²,6 м²,3 из 5,1962,43.979378,56.275839,"Сдам квартиру на проспекте Гагарина. Отличное местоположение. Рядом остановка транспорта, парк Швейцария, многочисленные ВУЗы. 

Квартира очень светлая и чистая. Фото соответствуют действительности. Балкон застеклен

Сдается строго славянам, предпочтительно одному или паре. Сверх аренды оплата электричества и при необходимости интернета",https://nn.cian.ru/rent/flat/255635710/
